	HGNC_ID	Ensembl	Gene_symbol	Source	Source_Date	Download_Date
279	HGNC:1409	ENSG00000075429	CACNG5	HPA	20210914	20210914
280	HGNC:20819	ENSG00000152705	CATSPER3	HPA	20210914	20210914
281	HGNC:23220	ENSG00000188782	CATSPER4	HPA	20210914	20210914
282	HGNC:1529	ENSG00000182533	CAV3	HPA	20210914	20210914
283	HGNC:15781	ENSG00000166664	CHRFAM7A	HPA	20210914	20210914
284	HGNC:1956	ENSG00000120903	CHRNA2	HPA	20210914	20210914
285	HGNC:1957	ENSG00000080644	CHRNA3	HPA	20210914	20210914
286	HGNC:1966	ENSG00000108556	CHRNE	HPA	20210914	20210914
287	HGNC:1967	ENSG00000196811	CHRNG	HPA	20210914	20210914
288	HGNC:2019	ENSG00000188037	CLCN1	HPA	20210914	20210914
289	HGNC:2027	ENSG00000184908	CLCNKB	HPA	20210914	20210914
290	HGNC:19172	ENSG00000089505	CMTM1	HPA	20210914	20210914
291	HGNC:19173	ENSG00000140932	CMTM2	HPA	20210914	20210914
292	HGNC:19175	ENSG00000183723	CMTM4	HPA	20210914	20210914
293	HGNC:19176	ENSG00000166091	CMTM5	HPA	20210914	20210914
294	HGNC:19177	ENSG00000091317	CMTM6	HPA	20210914	20210914
295	HGNC:19179	ENSG00000170293	CMTM8	HPA	20210914	20210914
296	HGNC:105	ENSG00000158158	CNNM4	HPA	20210914	20210914
297	HGNC:18549	ENSG00000164935	DCSTAMP	HPA	20210914	20210914
298	HGNC:3236	ENSG00000146648	EGFR	HPA	20210914	20210914
299	HGNC:3760	ENSG00000126500	FLRT1	HPA	20210914	20210914
300	HGNC:3762	ENSG00000125848	FLRT3	HPA	20210914	20210914
301	HGNC:3763	ENSG00000102755	FLT1	HPA	20210914	20210914
302	HGNC:4025	ENSG00000266964	FXYD1	HPA	20210914	20210914
303	HGNC:4028	ENSG00000150201	FXYD4	HPA	20210914	20210914
304	HGNC:4130	ENSG00000130035	GALNT8	HPA	20210914	20210914
305	HGNC:4585	ENSG00000183454	GRIN2A	HPA	20210914	20210914
306	HGNC:4845	ENSG00000164588	HCN1	HPA	20210914	20210914
307	HGNC:4846	ENSG00000099822	HCN2	HPA	20210914	20210914
308	HGNC:19183	ENSG00000143630	HCN3	HPA	20210914	20210914
309	HGNC:16882	ENSG00000138622	HCN4	HPA	20210914	20210914
310	HGNC:5297	ENSG00000166736	HTR3A	HPA	20210914	20210914
311	HGNC:28240	ENSG00000122986	HVCN1	HPA	20210914	20210914
312	HGNC:16644	ENSG00000206013	IFITM5	HPA	20210914	20210914
313	HGNC:6180	ENSG00000150995	ITPR1	HPA	20210914	20210914
314	HGNC:6250	ENSG00000143473	KCNH1	HPA	20210914	20210914
315	HGNC:18863	ENSG00000184611	KCNH7	HPA	20210914	20210914
316	HGNC:6257	ENSG00000187486	KCNJ11	HPA	20210914	20210914
317	HGNC:6296	ENSG00000075043	KCNQ2	HPA	20210914	20210914
318	HGNC:18867	ENSG00000215262	KCNU1	HPA	20210914	20210914
319	HGNC:29612	ENSG00000162511	LAPTM5	HPA	20210914	20210914
320	HGNC:26016	ENSG00000203896	LIME1	HPA	20210914	20210914
321	HGNC:24783	ENSG00000183423	LRIT3	HPA	20210914	20210914
322	HGNC:19411	ENSG00000176204	LRRTM4	HPA	20210914	20210914
323	HGNC:8101	ENSG00000104044	OCA2	HPA	20210914	20210914
324	HGNC:16116	ENSG00000149635	OCSTAMP	HPA	20210914	20210914
325	HGNC:21652	ENSG00000081087	OSTM1	HPA	20210914	20210914
326	HGNC:28993	ENSG00000103335	PIEZO1	HPA	20210914	20210914
327	HGNC:26270	ENSG00000154864	PIEZO2	HPA	20210914	20210914
328	HGNC:9009	ENSG00000118762	PKD2	HPA	20210914	20210914
329	HGNC:30500	ENSG00000167371	PRRT2	HPA	20210914	20210914
