	HGNC_ID	Gene_symbol	Biological_process	Source	Source_Date	Download_Date
14803	HGNC:17896	PRPF19	DNA repair	HPA	20210914	20210914
14804	HGNC:17896	PRPF19	mRNA processing	HPA	20210914	20210914
14805	HGNC:17896	PRPF19	mRNA splicing	HPA	20210914	20210914
14806	HGNC:17896	PRPF19	Ubl conjugation pathway	HPA	20210914	20210914
14807	HGNC:17348	PRPF3	mRNA processing	HPA	20210914	20210914
14808	HGNC:17348	PRPF3	mRNA splicing	HPA	20210914	20210914
14809	HGNC:15446	PRPF31	mRNA processing	HPA	20210914	20210914
14810	HGNC:15446	PRPF31	mRNA splicing	HPA	20210914	20210914
14811	HGNC:25930	PRPF38A	mRNA processing	HPA	20210914	20210914
14812	HGNC:25930	PRPF38A	mRNA splicing	HPA	20210914	20210914
14813	HGNC:25512	PRPF38B	mRNA processing	HPA	20210914	20210914
14814	HGNC:25512	PRPF38B	mRNA splicing	HPA	20210914	20210914
14815	HGNC:20314	PRPF39	mRNA processing	HPA	20210914	20210914
14816	HGNC:20314	PRPF39	mRNA splicing	HPA	20210914	20210914
14817	HGNC:17349	PRPF4	mRNA processing	HPA	20210914	20210914
14818	HGNC:17349	PRPF4	mRNA splicing	HPA	20210914	20210914
14819	HGNC:16463	PRPF40A	Cell cycle	HPA	20210914	20210914
14820	HGNC:16463	PRPF40A	Cell division	HPA	20210914	20210914
14821	HGNC:16463	PRPF40A	mRNA processing	HPA	20210914	20210914
14822	HGNC:16463	PRPF40A	mRNA splicing	HPA	20210914	20210914
14823	HGNC:25031	PRPF40B	mRNA processing	HPA	20210914	20210914
14824	HGNC:25031	PRPF40B	mRNA splicing	HPA	20210914	20210914
14825	HGNC:17346	PRPF4B	mRNA processing	HPA	20210914	20210914
14826	HGNC:17346	PRPF4B	mRNA splicing	HPA	20210914	20210914
14827	HGNC:15860	PRPF6	mRNA processing	HPA	20210914	20210914
14828	HGNC:15860	PRPF6	mRNA splicing	HPA	20210914	20210914
14829	HGNC:17340	PRPF8	mRNA processing	HPA	20210914	20210914
14830	HGNC:17340	PRPF8	mRNA splicing	HPA	20210914	20210914
14831	HGNC:9942	PRPH2	Cell adhesion	HPA	20210914	20210914
14832	HGNC:9942	PRPH2	Sensory transduction	HPA	20210914	20210914
14833	HGNC:9942	PRPH2	Vision	HPA	20210914	20210914
14834	HGNC:9462	PRPS1	Nucleotide biosynthesis	HPA	20210914	20210914
14835	HGNC:9463	PRPS1L1	Nucleotide biosynthesis	HPA	20210914	20210914
14836	HGNC:9465	PRPS2	Nucleotide biosynthesis	HPA	20210914	20210914
14837	HGNC:9466	PRPSAP1	Nucleotide biosynthesis	HPA	20210914	20210914
14838	HGNC:9467	PRPSAP2	Nucleotide biosynthesis	HPA	20210914	20210914
14839	HGNC:24528	PRR13	Transcription	HPA	20210914	20210914
14840	HGNC:24528	PRR13	Transcription regulation	HPA	20210914	20210914
14841	HGNC:28458	PRR14	Myogenesis	HPA	20210914	20210914
14842	HGNC:31682	PRR5	Cell cycle	HPA	20210914	20210914
14843	HGNC:28130	PRR7	Adaptive immunity	HPA	20210914	20210914
14844	HGNC:28130	PRR7	Immunity	HPA	20210914	20210914
14845	HGNC:9475	PRSS1	Digestion	HPA	20210914	20210914
14846	HGNC:9483	PRSS2	Digestion	HPA	20210914	20210914
14847	HGNC:9486	PRSS3	Digestion	HPA	20210914	20210914
14848	HGNC:29211	PRSS37	Fertilization	HPA	20210914	20210914
14849		PRSS42	Differentiation	HPA	20210914	20210914
14850		PRSS42	Spermatogenesis	HPA	20210914	20210914
14851	HGNC:9495	PRTN3	Collagen degradation	HPA	20210914	20210914
14852	HGNC:25209	PRUNE2	Apoptosis	HPA	20210914	20210914
14853	HGNC:9498	PSAP	Lipid metabolism	HPA	20210914	20210914
14854	HGNC:9498	PSAP	Sphingolipid metabolism	HPA	20210914	20210914
14855	HGNC:33131	PSAPL1	Lipid metabolism	HPA	20210914	20210914
14856	HGNC:33131	PSAPL1	Sphingolipid metabolism	HPA	20210914	20210914
14857	HGNC:19129	PSAT1	Amino-acid biosynthesis	HPA	20210914	20210914
14858	HGNC:19129	PSAT1	Serine biosynthesis	HPA	20210914	20210914
14859	HGNC:9508	PSEN1	Apoptosis	HPA	20210914	20210914
14860	HGNC:9508	PSEN1	Cell adhesion	HPA	20210914	20210914
14861	HGNC:9508	PSEN1	Notch signaling pathway	HPA	20210914	20210914
14862	HGNC:9509	PSEN2	Notch signaling pathway	HPA	20210914	20210914
14863	HGNC:30100	PSENEN	Notch signaling pathway	HPA	20210914	20210914
14864	HGNC:9527	PSIP1	Host-virus interaction	HPA	20210914	20210914
