HGNC_ID	Gene_symbol	Previous_symbol
HGNC:28169	ANKRD36BP1	ANKRD36BL1
HGNC:26080	ANKRD40CL	C17orf73
HGNC:26080	ANKRD40CL	LINC00483
HGNC:16217	ANKRD60	C20orf86
HGNC:20961	ANKS1A	ANKS1
HGNC:26724	ANKS6	SAMD6
HGNC:26724	ANKS6	ANKRD14
HGNC:29642	ANKUB1	C3orf16
HGNC:21625	ANO1	ORAOV2
HGNC:21625	ANO1	TMEM16A
HGNC:1183	ANO2	C12orf3
HGNC:1183	ANO2	TMEM16B
HGNC:14004	ANO3	C11orf25
HGNC:14004	ANO3	TMEM16C
HGNC:23837	ANO4	TMEM16D
HGNC:27337	ANO5	TMEM16E
HGNC:27337	ANO5	LGMD2L
HGNC:25240	ANO6	TMEM16F
HGNC:31677	ANO7	PCANAP5
HGNC:31677	ANO7	TMEM16G
HGNC:32248	ANO7L1	TMEM16M
HGNC:32248	ANO7L1	C1orf224
HGNC:32248	ANO7L1	ANO7P1
HGNC:29329	ANO8	KIAA1623
HGNC:29329	ANO8	TMEM16H
HGNC:20679	ANO9	TP53I5
HGNC:20679	ANO9	TMEM16J
HGNC:25519	ANO10	TMEM16K
HGNC:6211	ANOS1	KAL
HGNC:6211	ANOS1	ADMLX
HGNC:6211	ANOS1	KAL1
HGNC:6214	ANOS2P	ADMLY
HGNC:6214	ANOS2P	KALP
HGNC:13233	ANP32A	C15orf1
HGNC:25672	ANP32A-IT1	C15orf28
HGNC:25672	ANP32A-IT1	NCRNA00321
HGNC:500	ANPEP	CD13
HGNC:500	ANPEP	PEPN
HGNC:14152	ANTKMT	C16orf24
HGNC:14152	ANTKMT	FAM173A
HGNC:533	ANXA1	ANX1
HGNC:533	ANXA1	LPC1
HGNC:537	ANXA2	ANX2
HGNC:537	ANXA2	ANX2L4
HGNC:537	ANXA2	CAL1H
HGNC:537	ANXA2	LPC2D
HGNC:538	ANXA2P1	LPC2A
HGNC:538	ANXA2P1	ANX2P1
HGNC:538	ANXA2P1	ANX2L1
HGNC:539	ANXA2P2	ANX2P2
HGNC:539	ANXA2P2	ANX2L2
HGNC:539	ANXA2P2	LPC2B
HGNC:540	ANXA2P3	ANX2P3
HGNC:540	ANXA2P3	ANX2L3
HGNC:540	ANXA2P3	LPC2C
HGNC:33463	ANXA2R	C5orf39
HGNC:541	ANXA3	ANX3
HGNC:542	ANXA4	ANX4
HGNC:543	ANXA5	ENX2
HGNC:543	ANXA5	ANX5
HGNC:544	ANXA6	ANX6
HGNC:545	ANXA7	ANX7
HGNC:546	ANXA8	ANX8
HGNC:23334	ANXA8L1	ANXA8L2
HGNC:547	ANXA9	ANX31
HGNC:535	ANXA11	ANX11
HGNC:536	ANXA13	ANX13
HGNC:80	AOC1	ABP1
HGNC:80	AOC1	ABP
HGNC:1361	AOPEP	C9orf3
HGNC:18450	AOX2P	AOX2
HGNC:28808	AP1AR	C4orf16
HGNC:554	AP1B1	ADTB1
HGNC:554	AP1B1	CLAPB2
HGNC:297	AP1B1P1	ADTB1L1
HGNC:298	AP1B1P2	ADTB1L2
HGNC:555	AP1G1	CLAPG1
HGNC:555	AP1G1	ADTG
HGNC:559	AP1S1	CLAPS1
HGNC:559	AP1S1	EKV3
HGNC:560	AP1S2	MRX59
HGNC:560	AP1S2	MRXS5
HGNC:560	AP1S2	PGS
HGNC:561	AP2A1	CLAPA1
HGNC:561	AP2A1	ADTAA
HGNC:562	AP2A2	CLAPA2
HGNC:562	AP2A2	ADTAB
HGNC:563	AP2B1	ADTB2
HGNC:563	AP2B1	CLAPB1
HGNC:564	AP2M1	CLAPM1
HGNC:565	AP2S1	CLAPS2
HGNC:565	AP2S1	HHC3
HGNC:2013	AP3S1	CLAPS3
HGNC:572	AP4B1	SPG47
HGNC:20192	AP5M1	C14orf108
HGNC:20192	AP5M1	MUDENG
HGNC:15875	AP5S1	C20orf29
HGNC:22197	AP5Z1	KIAA0415
HGNC:578	APBA1	MINT1
HGNC:579	APBA2	X11L
HGNC:579	APBA2	MINT2
HGNC:581	APBB1	RIR
HGNC:27152	APCDD1L-DT	APCDD1L-AS1
HGNC:586	APEH	D3F15S2
HGNC:586	APEH	DNF15S2
HGNC:586	APEH	D3S48E
HGNC:587	APEX1	APEX
HGNC:595	API5P1	API5L1
HGNC:28724	APLF	C2orf13
HGNC:339	APLNR	AGTRL1
HGNC:598	APLP2	APPL2
HGNC:13238	APMAP	C20orf3
HGNC:17354	APOBEC3D	APOBEC3E
HGNC:32152	APOBEC4	C1orf169
HGNC:613	APOE	AD2
HGNC:616	APOH	B2G1
HGNC:618	APOL1	APOL
HGNC:28727	APOO	FAM121B
HGNC:24009	APOOL	CXorf33
HGNC:24009	APOOL	FAM121A
HGNC:620	APP	AD1
HGNC:24082	APRG1	C3orf35
HGNC:44173	APTR	RSBN1L-AS1
HGNC:15984	APTX	AXA1
HGNC:633	AQP1	CO
HGNC:26399	AQP4-AS1	C18orf16
HGNC:26399	AQP4-AS1	CHST9-AS1
HGNC:639	AQP6	AQP2L
HGNC:640	AQP7	AQP7L
HGNC:19941	AQP12A	AQP12
HGNC:6096	AQP12B	INSSA3
HGNC:644	AR	DHTR
HGNC:644	AR	SBMA
HGNC:646	ARAF	ARAF1
HGNC:647	ARAFP2	ARAF2
HGNC:647	ARAFP2	ARAFPS
HGNC:647	ARAFP2	ARAF2P
HGNC:35474	ARAFP3	ARAF3P
HGNC:16925	ARAP1	CENTD2
HGNC:16924	ARAP2	CENTD1
HGNC:24097	ARAP3	CENTD3
HGNC:649	ARCN1	COPD
HGNC:651	AREG	SDGF
HGNC:651	AREG	AREGB
HGNC:20363	AREL1	KIAA0317
